Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Variación consumo 2020 respecto a 2019 (%),Variación consumo 2019 respecto a 2018 (%),Variación precio 2020 respecto a 2019 (%),Variación precio 2019 respecto a 2018 (%)
03-2020,2020,3,Total Nacional,MELON,5869.84,10897.81,1.86,9.46,0.13,3.6080226920110183,-15.71357585351194,12.153040421286187,-6.264072095432686
03-2020,2020,3,Total Nacional,SANDIA,2020.78,3176.03,1.57,3.81,0.05,-21.94686710596451,29.26286147946956,-27.596339728625622,19.3112058249945
03-2020,2020,3,Total Nacional,CIRUELAS,1313.8,4054.93,3.09,7.94,0.03,0.32147466000809694,-6.190500068051094,9.453076075924768,-14.061166165608885
03-2020,2020,3,Total Nacional,CEREZAS,104.81,201.59,1.92,0.6,0.0,35.95797120249059,-56.26595563623986,-36.17944090923481,-43.49879259458009
03-2020,2020,3,Total Nacional,UVAS,3172.19,13607.02,4.29,14.08,0.07,-2.802681651887752,22.925510077250767,13.8894352575461,22.46532347671354
03-2020,2020,3,Total Nacional,KIWI,13322.0,37239.65,2.8,40.21,0.3,8.97475224644883,13.26951247647719,19.39504871389421,6.887334427213767
03-2020,2020,3,Total Nacional,AGUACATE,6166.47,24173.83,3.92,30.86,0.14,10.837364047646018,24.433693872621376,24.433677114625564,21.031570749941604
03-2020,2020,3,Total Nacional,PIÑA,7320.61,12363.99,1.69,18.32,0.17,-6.508007458302472,5.3179498629422115,2.72387991498936,3.648673319302394
03-2020,2020,3,Total Nacional,OTRAS FRUTAS FRESCAS,8853.44,27293.72,3.08,28.74,0.2,12.746912125962604,-11.318696335179048,24.342983141498898,-8.748451970232939
03-2020,2020,3,Total Nacional,POMELO,1121.39,2133.68,1.9,2.94,0.03,-1.6117428230504574,-25.981439509556246,12.364591945820965,-30.569987970617586
03-2020,2020,3,Total Nacional,FRUTAS IV GAMA,17700.78,33072.66,1.87,30.94,0.4,7.238588681193114,-2.793698131252818,11.903557516069414,-1.4777039318432024
03-2020,2020,3,Andalucia,T.FRUTAS FRESCAS,59138.85,94907.44,1.6,96.8,7.09,12.889484886373396,1.1325517607776463,16.11209848274549,1.4886231924096236
03-2020,2020,3,Andalucia,NARANJAS,17189.34,16174.7,0.94,63.6,2.06,20.90047940041188,-4.066416471328072,36.29327655113895,-12.075205539433123
03-2020,2020,3,Andalucia,MANDARINAS,5226.14,8942.62,1.71,53.74,0.63,27.378596289399542,-2.5911803949686236,49.17419408649236,-13.109490955473097
03-2020,2020,3,Andalucia,LIMONES,1658.72,2499.41,1.51,32.17,0.2,8.60899400225243,16.048144433299903,14.546746104491284,8.800255296657708
03-2020,2020,3,Andalucia,PLATANOS,10385.88,15319.92,1.48,82.7,1.25,15.437274021645012,-4.381229919982823,7.980901659333978,5.487457600906503
03-2020,2020,3,Andalucia,MANZANAS,7988.58,12117.48,1.52,77.31,0.96,11.713548549493426,2.77040835390863,21.27570138355111,-1.8897048643330254
03-2020,2020,3,Andalucia,PERAS,3834.11,6223.04,1.62,52.88,0.46,21.976057238660918,-16.43346883000529,37.62946220245533,-16.586449326561738
03-2020,2020,3,Andalucia,NECTARINAS,180.95,313.22,1.73,2.12,0.02,2.53286491387126,159.68216597998824,-20.255613829624714,135.55022488755623
03-2020,2020,3,Andalucia,ALBARICOQUES,18.82,31.17,1.66,0.76,0.0,208.52459016393445,-87.31281198003327,95.42319749216303,-74.79058005373795
03-2020,2020,3,Andalucia,FRESAS/FRESON,5166.92,13401.0,2.59,65.09,0.62,-8.41246403888321,29.92554311152874,-9.593992631785591,20.161754477552652
03-2020,2020,3,Andalucia,MELON,1010.81,1615.92,1.6,7.74,0.12,3.5135688684075723,-20.18798528810789,6.4421784839143275,-19.220147605795685
03-2020,2020,3,Andalucia,SANDIA,342.36,559.13,1.63,4.09,0.04,-27.778246561471605,34.269933437190204,-23.919610297719476,13.333127717977966
03-2020,2020,3,Andalucia,CIRUELAS,244.67,648.01,2.65,9.28,0.03,1.5691809539623898,-4.211070462859872,-5.7535959974984445,-1.502736154485273
03-2020,2020,3,Andalucia,UVAS,578.11,2351.26,4.07,15.85,0.07,5.776338419877787,6.63154814164472,20.242606485530043,8.887861812431098
03-2020,2020,3,Andalucia,KIWI,1859.4,5319.37,2.86,38.17,0.22,19.481053571772815,10.204442933724225,31.594285360875745,7.649800266311585
03-2020,2020,3,Andalucia,AGUACATE,821.65,3230.99,3.93,31.11,0.1,-13.46224735905295,28.29462077911548,3.650058866743009,28.616343118849663
03-2020,2020,3,Andalucia,PIÑA,1185.68,1905.3,1.61,18.79,0.14,-4.950177565073791,35.68608255832926,1.105887097630086,24.817687462328703
03-2020,2020,3,Andalucia,OTRAS FRUTAS FRESCAS,1424.06,4210.53,2.96,30.29,0.17,-0.15914970588853786,-0.9087056502317028,11.467237787137607,0.9085420584715274
03-2020,2020,3,Andalucia,POMELO,172.57,339.94,1.97,4.46,0.02,-24.582641377501968,12.370475863085007,-26.321036889332007,26.913131979974686
03-2020,2020,3,Andalucia,FRUTAS IV GAMA,2996.99,5409.79,1.81,32.27,0.36,16.76023359916471,-18.32688464916189,10.827737100666624,-10.204104158426762
03-2020,2020,3,Aragon,T.FRUTAS FRESCAS,11050.12,18215.68,1.65,97.89,8.78,6.374404959592606,11.734310278250755,13.533724458981977,9.37682785663742
03-2020,2020,3,Aragon,NARANJAS,3250.18,3249.32,1.0,75.21,2.58,13.893142610846926,2.047231142229819,33.49876950003494,-8.397501034962934
03-2020,2020,3,Aragon,MANDARINAS,1130.11,2071.14,1.83,62.94,0.9,-9.126655462725452,32.10639812188617,15.270179266127546,11.256486148435272
03-2020,2020,3,Aragon,LIMONES,288.08,490.37,1.7,40.91,0.23,33.835075493612074,-16.814809089503786,55.86599281650296,-16.895158094936203
03-2020,2020,3,Aragon,PLATANOS,1544.65,2599.9,1.68,79.99,1.23,11.579441615198483,1.4049532292681377,15.620483401151802,12.23048512677182
03-2020,2020,3,Aragon,MANZANAS,1682.35,2318.32,1.38,82.23,1.34,14.22567438197212,16.93488841075639,18.37645460904909,8.891804882930874
03-2020,2020,3,Aragon,PERAS,694.02,1100.09,1.59,53.83,0.55,4.205642557919549,1.9782878316924097,8.092519627013047,0.6308399663815687
03-2020,2020,3,Aragon,NECTARINAS,20.5,42.22,2.06,1.12,0.02,110.68859198355601,69.51219512195122,51.43472022955524,57.692307692307686
03-2020,2020,3,Aragon,FRESAS/FRESON,1059.44,2652.11,2.5,64.43,0.84,-5.165823747930003,80.60495344024835,-4.164618987049028,55.95329335918129
03-2020,2020,3,Aragon,MELON,140.65,265.55,1.89,10.08,0.11,-34.38301842780499,27.10507590132828,-40.32718365879418,54.43692521256291
03-2020,2020,3,Aragon,SANDIA,94.0,162.99,1.73,2.08,0.07,-28.04654011022657,57.79683536659014,-19.27991283676703,15.415833095170047
03-2020,2020,3,Aragon,CIRUELAS,33.97,80.28,2.36,10.62,0.03,21.40814867762687,-19.132947976878615,12.138566838943984,-28.794509647901336
03-2020,2020,3,Aragon,UVAS,117.11,310.85,2.65,14.67,0.09,31.259807218112535,43.34832904884318,-5.092663267486933,37.779740871613654
03-2020,2020,3,Aragon,KIWI,378.38,1071.34,2.83,39.18,0.3,19.915066235659495,-25.933054786160266,26.73480493056047,-29.81118915956758
03-2020,2020,3,Aragon,AGUACATE,163.96,665.27,4.06,29.28,0.13,-5.596499309074159,34.43764997290813,7.502747075172896,24.6756386493674
03-2020,2020,3,Aragon,PIÑA,182.46,309.81,1.7,14.31,0.14,-41.806468074248905,0.8751045621259982,-30.295189668361605,-6.340743862606686
03-2020,2020,3,Aragon,OTRAS FRUTAS FRESCAS,270.25,826.12,3.06,25.46,0.21,68.51655546548606,-2.747119466343239,57.596337275848896,43.69123653408625
03-2020,2020,3,Aragon,POMELO,7.89,16.74,2.12,2.07,0.01,-71.92170818505338,2.4799416484318004,-58.8293162813576,-13.63636363636364
03-2020,2020,3,Aragon,FRUTAS IV GAMA,650.63,1183.91,1.82,29.12,0.52,34.91829794293297,-1.1418380107008863,33.218183864071115,9.391925160019705
03-2020,2020,3,Asturias,T.FRUTAS FRESCAS,10655.87,17360.63,1.63,98.78,10.4,16.11116559336626,13.44706100500648,14.34556663549063,9.38181042724365
03-2020,2020,3,Asturias,NARANJAS,3266.37,3037.95,0.93,80.24,3.19,20.280819849610772,34.17890388758226,6.735927876524378,39.115325398958916
03-2020,2020,3,Asturias,MANDARINAS,965.89,1828.72,1.89,63.49,0.94,20.4727159338946,0.8211564095470402,39.9580597266229,-6.200331660672375
03-2020,2020,3,Asturias,LIMONES,247.5,379.07,1.53,37.5,0.24,10.190997729397616,11.369496231654107,7.880357447777335,14.5679817411151
03-2020,2020,3,Asturias,PLATANOS,1901.36,2892.53,1.52,94.1,1.86,40.26897625248061,-8.713718095494652,25.374059433406167,2.512696783481506
03-2020,2020,3,Asturias,MANZANAS,1521.85,2288.63,1.5,76.8,1.49,14.064608004796872,15.375302663438251,23.48078967104234,3.5192859775918497
03-2020,2020,3,Asturias,PERAS,466.29,795.9,1.71,54.32,0.46,-4.091077378748609,-17.529515538064864,-2.2752108836855194,-15.339916839916846
03-2020,2020,3,Asturias,NECTARINAS,13.93,58.73,4.22,2.67,0.01,-77.19757734490096,234.19037199124725,-62.58520736446456,265.131425913003
03-2020,2020,3,Asturias,FRESAS/FRESON,1021.27,2633.22,2.58,76.13,1.0,5.836571843100672,22.000404581889903,5.729727125258974,6.394740327148919
03-2020,2020,3,Asturias,MELON,200.1,381.13,1.9,14.26,0.2,286.8161608351054,-30.27362178191131,267.3188126445644,-13.453999499541242
03-2020,2020,3,Asturias,SANDIA,35.48,63.98,1.8,4.99,0.03,-61.325485066492256,192.81838493456752,-60.78215030035553,202.9526462395543
03-2020,2020,3,Asturias,CIRUELAS,28.09,106.0,3.77,10.08,0.03,95.4766875434934,-75.61513660274903,131.54215814766272,-71.98800709784005
03-2020,2020,3,Asturias,UVAS,75.85,332.84,4.39,11.83,0.07,-31.301512544153614,86.97713801862828,-25.130466078819513,108.54716892620915
03-2020,2020,3,Asturias,KIWI,354.44,1010.84,2.85,41.97,0.35,-19.967484814956986,22.29586060254605,-13.76556901552636,16.06400253475385
03-2020,2020,3,Asturias,AGUACATE,130.31,516.68,3.97,30.25,0.13,44.14823008849557,50.817484150817506,68.20653058566914,22.872914916596663
03-2020,2020,3,Asturias,PIÑA,186.4,329.77,1.77,15.37,0.18,-32.6759851193701,100.61589739873924,-11.696344892221184,86.67833041739563
03-2020,2020,3,Asturias,OTRAS FRUTAS FRESCAS,240.76,704.66,2.93,30.89,0.24,70.40130228607828,-38.867255105572866,64.60172856809156,-41.13683863161368
03-2020,2020,3,Asturias,POMELO,46.83,87.87,1.88,7.21,0.05,6.190476190476183,-43.43252950230887,34.76993865030675,-49.96546696339498
03-2020,2020,3,Asturias,FRUTAS IV GAMA,381.77,625.21,1.64,27.7,0.37,27.066067565318686,-18.594884577869298,-4.155935737061567,-1.849204796798117
03-2020,2020,3,Baleares,T.FRUTAS FRESCAS,9157.54,16649.6,1.82,97.79,8.96,32.75760589393357,-8.459780609441815,41.79260821207574,-9.731960760045423
03-2020,2020,3,Baleares,NARANJAS,2489.03,2627.45,1.06,53.62,2.44,61.57181712549742,-24.77611211484936,101.934457475752,-30.99230973216653
03-2020,2020,3,Baleares,MANDARINAS,605.08,1227.73,2.03,42.95,0.59,66.91862068965519,10.038551437331146,122.42291387369106,-5.663795460760183
03-2020,2020,3,Baleares,LIMONES,213.25,311.86,1.46,29.71,0.21,72.47654480750566,0.7004398110441434,135.11761158021716,-17.996908809891817
03-2020,2020,3,Baleares,PLATANOS,1899.18,2992.57,1.58,90.21,1.86,34.070805831068455,-5.631907480564121,23.051777167387627,3.090213898756288
03-2020,2020,3,Baleares,MANZANAS,1380.75,2243.97,1.63,80.78,1.35,35.430051101978364,-10.507096898782514,57.87485225417909,-15.641284349219548
03-2020,2020,3,Baleares,PERAS,605.66,1065.09,1.76,50.57,0.59,39.95932892730045,-19.18954248366013,64.56891223733001,-21.124151463078732
03-2020,2020,3,Baleares,MELOCOTONES,6.88,8.85,1.29,1.1,0.01,624.2105263157895,-67.46575342465754,43.668831168831154,-42.91010194624652
03-2020,2020,3,Baleares,FRESAS/FRESON,738.22,2270.12,3.08,69.36,0.72,-19.762184252858564,40.498442367601236,-5.940360225233993,16.319497995064758
03-2020,2020,3,Baleares,MELON,225.13,502.39,2.23,13.76,0.22,129.13994910941474,88.90597961930399,225.3821243523316,55.160285398452416
03-2020,2020,3,Baleares,SANDIA,47.73,78.58,1.65,4.32,0.05,-6.2831337129393345,-26.98207885304659,-8.393564933550946,-27.02679710761378
03-2020,2020,3,Baleares,CIRUELAS,39.35,134.83,3.43,10.52,0.04,11.631205673758869,-18.94688434122787,20.610072457285987,-21.007631430186546
03-2020,2020,3,Baleares,UVAS,118.05,533.53,4.52,17.61,0.12,30.427577063307908,-33.5998826204974,35.05720939651679,-35.66542896228258
03-2020,2020,3,Baleares,KIWI,310.96,1072.35,3.45,39.04,0.3,24.83841181902123,-9.64851826326671,51.35924796747966,-4.644746228078438
03-2020,2020,3,Baleares,AGUACATE,149.29,703.38,4.71,34.92,0.15,-11.61042036708112,-17.41235147425553,5.787336441570163,-17.797888386123685
03-2020,2020,3,Baleares,PIÑA,102.0,159.31,1.56,14.22,0.1,-60.676972897952886,7.791722074468085,-49.82046113140986,-18.27004762517698
03-2020,2020,3,Baleares,OTRAS FRUTAS FRESCAS,192.92,661.11,3.43,27.15,0.19,54.57094784071788,-28.586141786347774,69.96426459624135,-23.081334414364527
03-2020,2020,3,Baleares,POMELO,13.61,23.8,1.75,0.72,0.01,-54.844061048440615,-8.528072837632783,-47.43816254416961,-30.65849923430321
03-2020,2020,3,Baleares,FRUTAS IV GAMA,507.11,1036.09,2.04,28.75,0.5,19.629629629629637,62.719281409542816,40.82284502677575,47.0891643342663
03-2020,2020,3,Canarias,T.FRUTAS FRESCAS,18795.62,32002.43,1.7,98.64,8.76,16.12944283184616,3.6660562657684164,20.354726140453078,2.2749266884729384
03-2020,2020,3,Canarias,NARANJAS,4189.71,4108.56,0.98,60.27,1.95,3.6584822753993205,-9.372330335461212,18.83414945956344,-22.766812016369723
03-2020,2020,3,Canarias,MANDARINAS,2128.72,3754.08,1.76,57.13,0.99,93.20209473502689,-0.3328840604618824,109.19222539229672,-4.381926683716966
03-2020,2020,3,Canarias,LIMONES,699.63,1078.82,1.54,42.81,0.33,59.20944838885854,-16.36882671995433,75.20706791827718,-17.942908926144085
03-2020,2020,3,Canarias,PLATANOS,3754.61,5222.52,1.39,83.51,1.75,15.407148302063097,11.519555753607785,15.038294554177378,23.27429134681443
03-2020,2020,3,Canarias,MANZANAS,2264.47,3529.39,1.56,77.63,1.06,-2.5858434641956882,0.5567307317959385,1.2078215911013455,-2.8353064755658273
03-2020,2020,3,Canarias,PERAS,1644.42,2803.83,1.71,61.31,0.77,21.786335863728944,2.06511304452994,40.47244488977956,-9.40655849313514
03-2020,2020,3,Canarias,NECTARINAS,45.23,158.12,3.5,5.42,0.02,-6.278491504351432,57.45513866231647,78.08311746818335,4.680499882103294
03-2020,2020,3,Canarias,ALBARICOQUES,1.01,4.06,4.0,0.26,0.0,-90.34416826003824,23.349056603773587,-70.7492795389049,-40.32674118658642
03-2020,2020,3,Canarias,FRESAS/FRESON,882.38,2750.32,3.12,55.5,0.41,-18.169340628767504,91.6398599534363,-28.879372763193274,66.53187778567275
03-2020,2020,3,Canarias,MELON,65.03,173.08,2.66,4.37,0.03,-37.21154774548614,-27.981364300118216,-28.212360016590623,-22.21326020325859
03-2020,2020,3,Canarias,CIRUELAS,45.74,203.03,4.44,2.93,0.02,-69.31231130493123,517.4399337199669,-36.057571176618794,399.874055415617
03-2020,2020,3,Canarias,UVAS,129.71,453.17,3.49,13.69,0.06,-3.230378991345855,-24.764256847777283,-13.852558740780161,-17.34908713823336
03-2020,2020,3,Canarias,KIWI,691.52,1634.7,2.36,36.53,0.32,-9.046429041167956,51.451166311428054,-1.1614900448029237,25.596883448254925
03-2020,2020,3,Canarias,AGUACATE,1004.26,3187.96,3.17,50.4,0.47,53.39239346265464,36.700561668719864,30.52678125435026,21.003948613526358
03-2020,2020,3,Canarias,PIÑA,113.35,166.87,1.47,6.69,0.05,612.8930817610062,-44.15173867228662,320.2216066481994,-53.1002716428487
03-2020,2020,3,Canarias,OTRAS FRUTAS FRESCAS,1112.69,2743.07,2.47,43.11,0.52,57.172924259118,-23.825817489266917,84.88161273581409,-36.85995642256494
03-2020,2020,3,Canarias,POMELO,100.58,197.97,1.97,2.31,0.05,53.76853692096011,-59.38023970688692,72.64323711520014,-59.02447739860639
03-2020,2020,3,Canarias,FRUTAS IV GAMA,910.33,1472.64,1.62,29.54,0.42,-25.446951394291794,18.667210900220603,-22.3241977340338,10.363535815117746
03-2020,2020,3,Cantabria,T.FRUTAS FRESCAS,4349.67,7289.96,1.68,98.22,8.1,3.9852066832896194,4.805870974854439,6.548298506415584,12.76246135184489
03-2020,2020,3,Cantabria,NARANJAS,1372.87,1187.93,0.87,56.13,2.56,27.382973787984216,-17.4921913277805,19.643666468591693,-23.70366385934714
03-2020,2020,3,Cantabria,MANDARINAS,482.0,958.19,1.99,64.36,0.9,8.73733841676631,84.2735398046144,48.72722192903487,73.74865156418554
03-2020,2020,3,Cantabria,LIMONES,110.72,188.27,1.7,28.13,0.21,44.52421354914502,-28.058972673490466,48.2908002520479,-23.263825929283772
03-2020,2020,3,Cantabria,PLATANOS,628.84,997.71,1.59,82.33,1.17,-2.7887707148157252,4.7901378561824774,-2.0393134867645886,21.38345291159155
03-2020,2020,3,Cantabria,MANZANAS,649.71,950.62,1.46,72.99,1.21,-7.44344407088723,14.626300233511333,-0.778640614562462,23.111716481200688
03-2020,2020,3,Cantabria,PERAS,211.24,336.55,1.59,46.3,0.39,-17.917233339809602,-18.192510649119452,-9.488206976306369,-10.917585050311452
03-2020,2020,3,Cantabria,FRESAS/FRESON,466.9,1288.51,2.76,72.27,0.87,-1.6597160790260745,35.57782917844598,-4.000149009089558,26.128835220598596
03-2020,2020,3,Cantabria,MELON,3.01,9.65,3.2,1.09,0.01,-93.41788760113712,106.08382154123477,-88.89783709157845,160.62968515742128
03-2020,2020,3,Cantabria,SANDIA,19.29,43.71,2.27,2.44,0.04,-34.43235893949695,105.01742160278746,-9.446861404599135,94.55864570737607
03-2020,2020,3,Cantabria,CIRUELAS,13.42,31.62,2.36,6.63,0.02,174.99999999999997,12.442396313364057,156.65584415584414,-16.30434782608696
03-2020,2020,3,Cantabria,UVAS,33.42,165.66,4.96,11.79,0.06,-31.121187139323993,189.67164179104478,-17.606684571769623,161.8650690283928
03-2020,2020,3,Cantabria,KIWI,211.47,663.96,3.14,30.48,0.39,53.47267581101677,-13.197681743731899,66.0190533343335,-21.737343691904265
03-2020,2020,3,Cantabria,AGUACATE,64.03,250.09,3.91,21.74,0.12,19.25870739430062,2.3446435379336577,22.791771002111265,0.27077589602204755
03-2020,2020,3,Cantabria,PIÑA,26.22,38.99,1.49,8.21,0.05,-72.30671736375159,-26.859791425260703,-63.655853840417585,-24.794952681388015
03-2020,2020,3,Cantabria,OTRAS FRUTAS FRESCAS,49.79,171.79,3.45,27.49,0.09,-12.832633053221286,26.595744680851062,-19.619127830806665,71.41482194417709
03-2020,2020,3,Cantabria,POMELO,1.22,2.41,1.98,1.08,0.0,-85.91224018475751,-1.1415525114155212,-83.42503438789547,2.538787023977429
03-2020,2020,3,Cantabria,FRUTAS IV GAMA,179.91,332.19,1.85,30.46,0.33,-40.54723902052147,99.32156501119749,-34.86470588235294,85.57601339058293
03-2020,2020,3,Castilla La Mancha,T.FRUTAS FRESCAS,15218.73,24066.17,1.58,94.48,7.61,7.911984122425795,0.7259341474023386,10.576001051259464,3.994528004556482
03-2020,2020,3,Castilla La Mancha,NARANJAS,5209.16,5010.87,0.96,74.85,2.61,27.54638074693998,-12.760599121652803,48.18789683654549,-14.543887670208147
03-2020,2020,3,Castilla La Mancha,MANDARINAS,1501.4,2792.61,1.86,58.78,0.75,12.514988009592326,24.81993527023742,37.665327450642096,12.545910498108093
03-2020,2020,3,Castilla La Mancha,LIMONES,403.43,651.84,1.62,41.01,0.2,40.40161481172132,-29.810933606917782,76.77016949152544,-37.2682113572182
03-2020,2020,3,Castilla La Mancha,PLATANOS,2479.66,3848.68,1.55,80.97,1.24,0.6800898124576212,9.983254069261168,-6.841396938508755,20.056725387516924
03-2020,2020,3,Castilla La Mancha,MANZANAS,1860.65,2753.14,1.48,72.0,0.93,8.331635178015203,-1.3894072053968736,13.14614960998823,-1.5691430189518807
03-2020,2020,3,Castilla La Mancha,PERAS,911.4,1511.03,1.66,52.95,0.46,-13.332065424115628,-2.8652712863239165,-1.6608636230516405,-1.7519741679721277
03-2020,2020,3,Castilla La Mancha,NECTARINAS,32.94,45.94,1.39,2.96,0.02,1.4474899907606986,52.4413145539906,-31.93065639353978,172.68686868686868
03-2020,2020,3,Castilla La Mancha,FRESAS/FRESON,1244.74,3152.09,2.53,63.79,0.62,-26.696779284717355,55.71480972031178,-27.48181345505243,34.008521553611175
03-2020,2020,3,Castilla La Mancha,MELON,251.4,498.78,1.98,9.18,0.13,49.30514312863761,-35.52364541451273,93.52060215721268,-42.521353225842425
03-2020,2020,3,Castilla La Mancha,SANDIA,38.14,65.89,1.73,2.41,0.02,-5.124378109452741,-5.411764705882346,-14.43968315803143,44.37570303712036
03-2020,2020,3,Castilla La Mancha,CIRUELAS,27.96,125.66,4.49,4.43,0.01,-63.12804958459712,19.96519538047777,-35.41987871312571,-8.540540540540535
03-2020,2020,3,Castilla La Mancha,UVAS,83.09,362.4,4.36,8.54,0.04,-1.9239848914069824,-22.0104943385805,27.68206320684917,0.0035233598759745284
03-2020,2020,3,Castilla La Mancha,KIWI,500.04,1322.0,2.64,37.07,0.25,23.830514350808553,-27.390585104470095,41.842449732838354,-32.55908189698838
03-2020,2020,3,Castilla La Mancha,AGUACATE,218.93,838.17,3.83,28.73,0.11,1.2767729102095664,122.2142269736842,8.453237410071933,123.55153163055743
03-2020,2020,3,Castilla La Mancha,PIÑA,211.58,375.91,1.78,17.53,0.11,6.193535434651678,-16.384085949303337,43.77342614549073,-31.907911870409926
03-2020,2020,3,Castilla La Mancha,OTRAS FRUTAS FRESCAS,244.21,711.17,2.91,23.78,0.12,8.731077471059667,-21.308948216663172,7.632351605775336,-6.104874236180195
03-2020,2020,3,Castilla La Mancha,POMELO,15.09,23.64,1.57,2.47,0.01,-36.40960809102402,-8.058891902363419,-32.764505119453915,-3.5126234906695974
03-2020,2020,3,Castilla La Mancha,FRUTAS IV GAMA,606.41,1230.72,2.03,22.83,0.3,-0.12681577127046048,-3.418327580447613,3.5602191162982426,6.017163859548962
03-2020,2020,3,Castilla Leon,T.FRUTAS FRESCAS,21915.57,33389.35,1.52,97.69,9.56,5.891450919151583,5.025116702975387,9.881714425061276,6.74762680628655
03-2020,2020,3,Castilla Leon,NARANJAS,7481.03,7375.61,0.99,75.97,3.26,7.212179231790055,-1.6278856659500265,25.613282740203815,-8.44497667340268
03-2020,2020,3,Castilla Leon,MANDARINAS,1918.45,3273.34,1.71,63.06,0.84,17.11362484814818,9.841484839137955,36.104481459613645,2.7918109159294
03-2020,2020,3,Castilla Leon,LIMONES,618.52,1003.88,1.62,47.77,0.27,-0.1726948465921093,10.159125255578271,19.495298178788236,-0.6844861625033944
03-2020,2020,3,Castilla Leon,PLATANOS,3244.27,5143.74,1.59,85.85,1.42,8.656641436131013,8.669779697844293,3.7433392360844886,23.79596962864755
03-2020,2020,3,Castilla Leon,MANZANAS,3131.39,4247.4,1.36,79.3,1.37,17.110779506857103,7.4305022640251055,17.082126189800164,11.038297195048793
03-2020,2020,3,Castilla Leon,PERAS,1644.11,2471.07,1.5,63.95,0.72,12.021012754823929,-7.917207802392907,21.606578675406748,-7.17385544480279
03-2020,2020,3,Castilla Leon,MELOCOTONES,4.47,6.8,1.52,0.18,0.0,-55.566600397614316,140.09546539379474,-48.13119755911518,55.70071258907363
03-2020,2020,3,Castilla Leon,NECTARINAS,46.31,78.89,1.7,3.26,0.02,58.43311666096477,-50.059798393985986,80.19643672910004,-60.99777282850779
03-2020,2020,3,Castilla Leon,ALBARICOQUES,2.76,5.23,1.89,0.35,0.0,-22.253521126760564,-2.739726027397263,-45.63409563409562,7.726763717805146
03-2020,2020,3,Castilla Leon,FRESAS/FRESON,1444.94,3634.49,2.52,64.31,0.63,-20.478360410337686,33.935797737072924,-23.547353652046425,24.96707525768046
03-2020,2020,3,Castilla Leon,MELON,435.24,751.99,1.73,10.66,0.19,73.94293022140516,-26.587255017016776,89.50883294271817,-22.985404859871128
03-2020,2020,3,Castilla Leon,SANDIA,95.33,157.3,1.65,3.94,0.04,-33.86749913284773,51.94476652260989,-19.621870209504333,27.177021055367817
03-2020,2020,3,Castilla Leon,CIRUELAS,37.62,102.81,2.73,5.61,0.02,3.3800494641384913,4.508902929350948,-5.626950615017437,6.553208137715183
03-2020,2020,3,Castilla Leon,CEREZAS,7.01,12.85,1.83,0.66,0.0,1108.6206896551723,-90.58441558441558,39.069264069264065,-16.455696202531648
03-2020,2020,3,Castilla Leon,UVAS,91.03,393.59,4.32,9.0,0.04,-27.106021780909668,6.127305175490774,-8.81310381576814,2.498159625750987
03-2020,2020,3,Castilla Leon,KIWI,780.03,1993.05,2.56,41.57,0.34,-0.011536686663594297,38.90283638694515,-4.033570554983109,35.86152306313497
03-2020,2020,3,Castilla Leon,AGUACATE,261.8,989.66,3.78,26.9,0.11,-4.52224653537563,25.618471687740513,17.327800829875514,0.24720115994390923
03-2020,2020,3,Castilla Leon,PIÑA,347.25,563.77,1.62,16.07,0.15,-20.87273555884699,-0.025059230909412433,1.8775524955726601,-3.538558081160221
03-2020,2020,3,Castilla Leon,OTRAS FRUTAS FRESCAS,324.0,1183.89,3.65,22.42,0.14,-23.61373066767258,-13.851653261840926,-2.6029797701414092,-8.244574448009061
03-2020,2020,3,Castilla Leon,POMELO,30.87,51.35,1.66,1.49,0.01,-58.790548658390065,-3.6775106082036766,-56.04348570450266,-8.022990315723181
03-2020,2020,3,Castilla Leon,FRUTAS IV GAMA,1305.4,2411.91,1.85,36.28,0.57,58.13063281325711,-31.69843791368812,78.98349609664875,-27.22618552581128
03-2020,2020,3,Cataluña,T.FRUTAS FRESCAS,61118.68,108691.72,1.78,96.54,8.85,5.093680177480103,4.216104899250296,12.337394220911824,3.7602603714189895
03-2020,2020,3,Cataluña,NARANJAS,18011.14,18936.36,1.05,67.57,2.61,7.466125849725191,0.42711919250026203,19.090986274232353,-7.862493285578616
03-2020,2020,3,Cataluña,MANDARINAS,5844.76,12309.92,2.11,60.02,0.85,10.677556245254111,-5.001169296083745,42.89219868529037,-14.402859984559418
03-2020,2020,3,Cataluña,LIMONES,1899.87,3392.41,1.79,41.91,0.28,36.05582967509075,-15.942910115335525,66.69008824858977,-23.04847753834985
03-2020,2020,3,Cataluña,PLATANOS,9789.6,16339.25,1.67,86.32,1.42,7.189430843568213,8.956176496553429,1.304871599171414,18.6799998528346
03-2020,2020,3,Cataluña,MANZANAS,9151.38,13877.42,1.52,76.87,1.32,18.092836652553565,7.582387680928041,19.77583599743142,5.877364525267293
03-2020,2020,3,Cataluña,PERAS,3788.64,6680.39,1.76,51.19,0.55,1.1885239333999262,-1.7824867723479842,19.431944749860104,-4.111230540569725
03-2020,2020,3,Cataluña,MELOCOTONES,17.83,49.41,2.77,1.06,0.0,-46.981861433244134,64.36950146627566,18.888354186717983,-4.32780847145487
